degree_program,job_role,key_industries,top_skills_required
Computer Science,Database Administrator,"Finance, Telecom, Insurance, Tech","Database design and optimization (MySQL, Oracle, SQL Server), SQL query tuning, backup/recovery, data modeling, knowledge of transactions/concurrency, Linux/Windows administration, shell scripting, cloud databases (AWS RDS/Azure SQL), troubleshooting, security (encryption, access control)"
Computer Science,IT Project Manager,"Technology firms, Consulting, Oil&Gas, Manufacturing","Project planning (PMBOK/PRINCE2/Agile Scrum), stakeholder management, risk management, budgeting, scheduling (MS Project/JIRA), leadership, communication, problem-solving, documentation (MS Office), quality assurance, team coordination"
Computer Science,Software Developer/Engineer,"Tech firms, FinTech, Telecoms, eCommerce","Programming (JavaScript, Python, Java), software design, version control (Git), agile methodologies, problem-solving, debugging, communication, system architecture, RESTful APIs, cloud platforms (AWS/Azure)"
Computer Science,Data Scientist/Analyst,"Banking, Tech, Government, Consulting","Data analysis & visualization (SQL, Excel, Power BI), Python/R programming, statistics/machine learning (regression, clustering), big data tools, critical thinking, communication, data cleaning, database querying, dashboarding"
Computer Science,Cybersecurity Analyst,"Banks/FinTech, Telecoms, Government, Security Firms","Network/security fundamentals (firewalls, IDS/IPS), penetration testing, vulnerability assessment, incident response, security tools (SIEM, anti-malware), cryptography basics, risk analysis, programming/scripting (Python), compliance knowledge (ISO27001/NIST), attention to detail, problem-solving"
Software Engineering,Software Engineer/Developer,"FinTech, Tech, Telecom, E-commerce","Object-oriented programming (Java, C#, Python), software architecture, version control, CI/CD pipelines, REST APIs, cloud services (AWS/GCP/Azure), testing (unit/integration), data structures/algorithms, agile development, problem-solving"
Software Engineering,Systems Analyst,"IT Consultancies, Banks, Insurance","Systems design, requirements gathering, UML/flowcharting, business process modeling, SQL/database knowledge, integration/APIs, user interface design, communication, technical documentation, testing coordination"
Software Engineering,DevOps Engineer,"Technology firms, Telecoms, Oil&Gas IT","Linux administration, CI/CD tools (Jenkins/GitLab), containerization (Docker, Kubernetes), cloud platforms, scripting (Bash/Python), configuration management (Ansible/Chef), monitoring (Prometheus/Grafana), security basics, networking, teamwork"
Software Engineering,Quality Assurance (QA) Engineer,"Software companies, FinTech, Telecom","Software testing methodologies (unit, integration, regression), test automation tools (Selenium, JUnit), scripting (Python/JavaScript), bug tracking (JIRA), attention to detail, critical thinking, communication, Agile/Scrum, documentation, continuous improvement"
Software Engineering,Technical Architect,"Large IT/Finance firms, Consultancies","System design and architecture, multiple programming languages, database systems, scalability strategies, security design, cloud architecture (AWS/Azure/GCP), microservices and API design, performance tuning, leadership, communication, strategic planning"
Information Technology (IT),IT Support/Help Desk Specialist,All industries,"Troubleshooting (hardware/software), OS installation (Windows/Linux), networking basics (TCP/IP), ticketing systems, customer service, communication, active directory/admin tools, software deployment, problem-solving, time management"
Information Technology (IT),Network Administrator/Engineer,"Telecom, Banks, Government","Network design and management (Cisco, Juniper), routing/switching (OSPF, VLANs), wireless, firewall configuration, network security, VPNs, monitoring tools, Linux/Windows Server, troubleshooting, documentation"
Information Technology (IT),Systems Administrator,"Corporate IT, Datacenters, Education","Windows/Linux server administration, virtualization (VMware), cloud services (AWS EC2/Azure VMs), Active Directory, storage and backup management, monitoring (Nagios), scripting (PowerShell/Bash), security patches/upgrades, troubleshooting, system hardening"
Information Technology (IT),IT Consultant/Business Solutions Analyst,"Consulting firms, Enterprises","IT strategy, business analysis, requirements gathering, system integration knowledge, cybersecurity awareness, communication, project management, stakeholder management, presentation skills, report writing, knowledge of ERP/CRM systems"
Information Technology (IT),Business Analyst (IT),"Finance, Insurance, Retail","Process mapping, requirements analysis, SQL for data queries, knowledge of business process, documentation (UML, user stories), communication, data analytics, problem-solving, familiarity with finance/ERP applications, stakeholder liaison"
Law,Lawyer/Legal Officer,"Law firms, Banks, Oil/Gas, Tech","Legal research, drafting (contracts, briefs), negotiation, court advocacy, understanding of corporate/contract/tax law, communication, analytic reasoning, attention to detail, conflict resolution, ethics"
Law,Tax Consultant/Advisor,"Accounting firms, Banks, Govt tax authorities","Tax law and regulations, accounting fundamentals, financial analysis, problem-solving, persuasive communication, detail orientation, strategic tax planning, Microsoft Excel, continuous learning of tax updates"
Law,Compliance Officer,"Banks, Corporate, Insurance, Telecom","Regulatory knowledge (CBN/SEC guidelines), risk assessment, policy development, reporting, strong knowledge of ordinances, attention to detail, integrity, communication, analytical thinking, document review"
Law,Legal Publisher/Content Writer,"Media companies, Legal publishers","Legal writing and editing, research, clarity in communication, comprehension of case law, efficiency, ability to explain legal concepts to lay audience, creativity, attention to detail, referencing, computer literacy"
Law,Loss Adjuster,Insurance,"Insurance law, analytical and investigative ability, negotiation skills, excellent communication, financial literacy (to assess claims), attention to detail, empathy, problem-solving, compliance knowledge"
Economics,Financial Analyst,"Investment firms, Banks, Corporates","Financial modeling and forecasting, data analysis, Excel (VBA/PowerPivot), understanding of financial markets, statistical analysis, critical thinking, communication, trend analysis, report writing, knowledge of CFA concepts"
Economics,Economist/Policy Analyst,"Government, Central Bank, Think-tanks","Econometric analysis, macro/microeconomic theory, data/statistical analysis, use of software (Stata/R), report writing, policy evaluation, critical thinking, research methods, forecasting, communication"
Economics,Actuary,"Insurance companies, Pension funds, Banks","Probability and statistics, financial mathematics, actuarial modeling, programming (Python/R), problem-solving, communication, risk assessment, knowledge of actuarial software (Excel macros, SQL), attention to detail"
Economics,Management Consultant,"Consulting firms, Corporates","Business process analysis, SWOT and financial analysis, problem-solving, strategic thinking, communication, stakeholder management, presentation, teamwork, project management, Excel modeling, industry research"
Economics,Financial Manager,"Banks, Corporations, Government","Financial planning & budgeting, financial reporting, strategic planning, risk management, investment analysis, leadership, communication, use of finance software, knowledge of finance/accounting regulations"
Business Administration,Operations Manager,"Manufacturing, Retail, Telecoms","Operations planning, supply chain management, process improvement (Lean/Six Sigma), budgeting, leadership, communication, problem-solving, inventory control, ERP systems (SAP/Oracle), data analysis"
Business Administration,HR Manager/Officer,All industries,"Recruitment & selection, labor laws (Nigerian employment law), HR policy development, payroll and benefits administration, performance management, training & development, conflict resolution, communication, HRIS systems"
Business Administration,Sales/Business Development Manager,"FMCG, Tech, Pharma","Sales forecasting, client relationship management (CRM software), negotiation, market analysis, communication, strategic planning, product knowledge, network building, presentation skills, target-driven mindset"
Business Administration,Project Manager,"Construction, IT, Oil&Gas","Project planning (PM tools like MS Project), risk management, budgeting, scheduling, Agile/Scrum methods, stakeholder communication, leadership, quality control, procurement management, documentation"
Business Administration,Management Consultant,"Consulting firms, Multinationals","Business analysis, process optimization (SWOT, financial analysis), problem-solving, excellent communication, presentation, industry research, change management, client relations, strategic planning, teamwork"
Accounting,Accountant/Controller,"Banks, Corporates, Government","Financial reporting (IFRS/GAAP), bookkeeping, use of accounting software (QuickBooks, SAP FI), Excel, attention to detail, tax compliance, regulatory reporting, analytical skills, ethics, time management"
Accounting,Auditor (Internal/External),"Audit firms, Corporations","Audit planning, risk assessment, documentation (working papers), knowledge of audit standards, GAAP, fraud detection, analytical skills, communication, integrity, Excel, statistical sampling"
Accounting,Financial Analyst (Accounting Focus),"Corporate, Banks, Government","Financial modeling, data analysis, variance analysis, budgeting, forecasting, Excel (pivot tables, VBA), accounting knowledge, attention to detail, communication, strategic thinking"
Accounting,Forensic Accountant,"Finance/Insurance, Law Enforcement","Investigative techniques, forensic analysis, knowledge of finance law, fraud detection, data mining (Excel/ACL), attention to detail, report writing, ethics, critical thinking, audit skills"
Accounting,Chief Financial Officer (CFO)/Finance Manager,"Large Corporations, Multinationals","Strategic financial management, corporate finance, leadership, cash flow management, investment analysis, budgeting, regulatory compliance, risk management, communication, high-level decision-making"
Finance,Investment Banker,"Banks, Investment companies","Financial modeling, valuation, M&A analysis, Excel (advanced), PowerPoint, negotiation, regulatory knowledge, risk assessment, communication, research"
Finance,Risk Manager,"Banks, Insurance, Energy","Risk assessment methodologies, quantitative analysis, familiarity with Basel/IFRS standards, statistical modeling, Excel, risk reporting, regulatory compliance, communication, stress testing, data analysis"
Finance,Credit Analyst,"Banks, Microfinance, Leasing companies","Credit risk analysis, financial statement evaluation, ratio analysis, Excel, judgment/decision-making, communication, market/industry research, loan structuring, attention to detail, compliance knowledge"
Finance,Portfolio/Investment Manager,"Asset management, Pension funds","Investment strategy, equity/fixed income analysis, portfolio diversification, performance analysis, Excel/VBA, Bloomberg/Reuters, communication, compliance, risk management, client relations"
Finance,Financial Analyst/Planner,"Banks, Corporations, Wealth management","Financial forecasting, budgeting, Excel, financial statement analysis, market research, communication, certification knowledge (CFA topics), attention to detail, reporting, problem-solving"
Marketing,Marketing Manager,"FMCG, Retail, Tech, Finance","Strategy development, campaign planning, brand management, market analysis, communication, leadership, budgeting, digital marketing channels, CRM, teamwork"
Marketing,Digital Marketing Specialist,"E-commerce, Tech, Media","SEO/SEM, social media marketing, content creation, Google Analytics/Web Analytics, email marketing, PPC advertising, HTML/CMS basics, data analytics, creativity, adaptability"
Marketing,Advertising/Brand Manager,"Ad agencies, FMCG, Tech","Creative strategy, consumer insight analysis, media planning, content creation (storytelling), communication, project management, Adobe Creative Suite basics, negotiation, branding, market trend analysis"
Marketing,Market Research Analyst,"Consulting firms, Corporates, Media","Survey design, data collection and analysis, statistics (SPSS/STATA), report writing, data visualization, critical thinking, SQL or Excel, communication (presenting insights), attention to detail, trend analysis"
Marketing,Public Relations (PR) Officer,"Corporate Communications, Media Houses, NGOs","Media relations, press release writing, event planning, social media management, communication, brand messaging, networking, crisis communication, creativity, content creation"
Mass Communication,Journalist/Reporter,"Media houses: TV, Radio, Newspapers","Investigative reporting, writing/editing, interviewing, researching, fact-checking, communication, ethics, multimedia skills (video/photo editing), social media, time management"
Mass Communication,Editor (Copy/Content Editor),"Publishing, Newspapers, Digital media","Strong writing/editing (style guides), language proficiency, attention to detail, grammar expertise, fact-checking, CMS management, communication, teamwork, deadline management, SEO basics"
Mass Communication,Public Relations (PR) Officer,"Corporate, NGOs, Government","Media relations, press release writing, event coordination, strong communication (written/verbal), branding, networking, strategic thinking, social media management, crisis management, creativity"
Mass Communication,Content Creator/Producer,"Digital media, Marketing agencies","Content writing/video production, storytelling, SEO/content optimization, graphic design (canva/basic), social media platforms, creativity, audience analysis, time management, basic editing (Adobe Premiere), collaboration"
Mass Communication,Media Planner/Buyer,"Advertising agencies, Marketing","Market research, audience analytics, media strategy, budgeting, negotiation, understanding of media channels (TV, digital, OOH), Excel for budgeting, communication, trend awareness, data analysis"
Political Science,Policy Analyst/Public Affairs Specialist,"Government ministries, Think-tanks, NGOs","Policy research, data analysis (statistics), report writing, critical thinking, communication, stakeholder engagement, understanding of law/political processes, attention to detail, briefing skills"
Political Science,Diplomatic Officer/Foreign Service,"Ministry of Foreign Affairs, Embassies","International relations knowledge, foreign languages, communication, negotiation, cultural sensitivity, report writing, leadership, strategic analysis, protocol, networking"
